user_id,nr_sessions,page_clicks_total,page_clicks_avg,flights_taken,hotels_stayed,nr_cancellations,nr_trips,flight_taken_discount_avg,hotel_stayed_discount_avg,flight_taken_price_avg,hotel_stayed_room_price_per_night_price_avg,hotel_stayed_nights_avg,hotel_stayed_nights_avg,nr_airlines_taken,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date
23557,8,82,10.25,0,2,0,2,null,0.175,null,177,10,10,0,1958-12-08,F,true,false,usa,new york,LGA,40.777,-73.872,2021-07-22
94883,8,73,9.125,2,2,0,2,null,0.1,432.045,90,1,1,2,1972-03-16,F,true,false,usa,kansas city,MCI,39.297,-94.714,2022-02-07
101486,8,131,16.375,1,2,0,2,0.075,null,189.91,198.5,4,4.5,1,1972-12-07,F,true,true,usa,tacoma,TCM,47.138,-122.476,2022-02-17
101961,8,126,15.75,5,5,0,5,0.15,0.1,248.532,136,3.8,4.4,5,1980-09-14,F,true,false,usa,boston,BOS,42.364,-71.005,2022-02-17
106907,8,240,30,1,1,1,2,null,null,13902.06,129,11,11,1,1978-11-17,F,true,true,usa,miami,TNT,25.862,-80.897,2022-02-24
118043,8,164,20.5,3,4,0,5,0.2,0.11666666666666667,779.7633333333333,227.25,5.5,6,3,1972-05-04,F,false,true,usa,los angeles,LAX,33.942,-118.408,2022-03-10
120851,8,55,6.875,1,1,0,1,0.225,null,384.68,182,11,11,1,1972-09-25,F,true,true,usa,santa ana,SNA,33.676,-117.868,2022-03-13
125845,9,159,17.666666666666668,3,3,0,3,0.15,0.05,584.44,123.66666666666667,1.6666666666666667,2.3333333333333335,3,1983-12-01,F,true,false,usa,el paso,BIF,31.849,-106.38,2022-03-19
133058,8,73,9.125,1,0,0,1,null,0.05,423.51,null,null,null,1,2005-04-07,F,false,false,usa,austin,AUS,30.194,-97.67,2022-03-27
149058,8,142,17.75,5,5,0,5,0.05,null,385.732,168.6,6.25,6,5,1973-01-22,F,false,true,usa,birmingham,BHM,33.563,-86.753,2022-04-14
152583,8,149,18.625,1,1,0,1,0.15,0.15,367.83,213,2,3,1,1986-07-26,F,false,false,usa,colorado springs,COS,38.806,-104.7,2022-04-17
153982,8,150,18.75,3,3,0,3,null,0.15,218.95666666666668,207,1.3333333333333333,2.3333333333333335,2,1978-08-15,F,false,true,canada,toronto,YKZ,43.862,-79.37,2022-04-19
160754,8,86,10.75,1,1,0,1,null,null,93.62,214,2,3,1,1977-12-06,F,true,true,usa,new york,LGA,40.777,-73.872,2022-04-26
164522,8,89,11.125,1,1,0,1,0.05,0.05,328.32,233,13,14,1,1975-11-07,F,true,false,usa,kansas city,MCI,39.297,-94.714,2022-04-30
167852,8,63,7.875,0,0,0,0,0.1,0.1,null,null,null,null,0,2006-02-16,F,false,false,usa,tampa,MCF,27.849,-82.521,2022-05-03
171470,8,446,55.75,1,0,2,3,0.1,null,2878.25,null,null,null,1,1999-09-14,F,false,false,usa,atlanta,ATL,33.64,-84.427,2022-05-06
174997,8,252,31.5,2,2,1,3,null,0.125,295.215,112,2,2.5,2,1991-11-01,F,false,false,usa,grand rapids,GRR,42.881,-85.523,2022-05-10
175032,9,127,14.11111111111111,2,3,0,3,0.3,0.1,554.625,139,4.333333333333333,4.333333333333333,2,1994-11-05,F,false,false,usa,houston,IAH,29.98,-95.34,2022-05-10
181157,8,153,19.125,3,3,0,3,0.175,0.15,346.4766666666667,162.33333333333334,3.3333333333333335,3.6666666666666665,3,1970-08-10,F,true,false,usa,houston,HOU,29.645,-95.279,2022-05-15
182191,8,148,18.5,0,0,1,1,null,0.1,null,null,null,null,0,2004-09-27,F,false,true,usa,phoenix,PHX,33.434,-112.008,2022-05-16
187212,8,128,16,3,3,0,3,0.3999999999999999,0.1,414.19,217.33333333333334,2,3,3,1969-02-20,F,true,true,usa,los angeles,LAX,33.942,-118.408,2022-05-21
189676,8,93,11.625,1,2,0,2,0.15,null,1244.31,180.5,9,9.5,1,1988-01-10,F,false,true,usa,fort worth,FTW,32.82,-97.362,2022-05-23
190866,9,186,20.666666666666668,5,5,0,5,null,0.05,416.2,169.2,2.25,2.8,3,1986-09-24,F,false,false,usa,tallahassee,TLH,30.396,-84.35,2022-05-24
195192,8,225,28.125,1,1,0,1,0.1,0.1,394.29,160,1,1,1,1995-09-20,F,false,false,usa,chicago,MDW,41.786,-87.752,2022-05-28
204943,8,292,36.5,6,6,1,7,0.15,null,473.5283333333333,175.83333333333334,6.2,6,6,1982-12-20,M,false,false,canada,ottawa,YOW,45.323,-75.669,2022-06-06
204997,8,439,54.875,3,2,2,5,0.25,0.1,323.91,77,3,4,2,1985-08-26,F,true,false,usa,kansas city,MCI,39.297,-94.714,2022-06-06
205044,9,134,14.88888888888889,3,3,0,3,0.05,null,916.1166666666667,249.33333333333334,4.666666666666667,5.333333333333333,3,1983-08-25,F,true,true,canada,toronto,YKZ,43.862,-79.37,2022-06-06
206011,8,156,19.5,4,3,0,4,0.05,0.2,261.6475,113.33333333333333,4,3.3333333333333335,4,1984-08-04,F,false,true,usa,kansas city,MCI,39.297,-94.714,2022-06-07
216796,8,125,15.625,1,1,1,2,0.16666666666666666,0.1,2500.87,241,10,11,1,2001-07-09,F,false,false,usa,cincinnati,CVG,39.046,-84.662,2022-06-16
217114,9,59,6.555555555555555,0,0,0,0,0.05,0.15,null,null,null,null,0,2004-05-28,O,true,true,usa,long beach,LGB,33.818,-118.151,2022-06-17
217136,8,106,13.25,1,2,0,2,0.175,null,539.57,236.5,2,2.5,1,1985-04-18,F,false,true,usa,little rock,LIT,34.729,-92.224,2022-06-17
220725,9,316,35.111111111111114,4,3,1,5,0.15,0.05,494.5425,130,3.6666666666666665,4.666666666666667,4,1983-07-28,F,false,false,usa,stockton,SCK,37.894,-121.239,2022-06-20
224996,8,102,12.75,2,1,0,2,null,0.1,448.805,231,null,1,2,1981-03-07,F,false,true,canada,halifax,YHZ,44.881,-63.509,2022-06-23
226367,8,114,14.25,3,3,0,3,0.05,null,296.4033333333333,253,1.6666666666666667,2.6666666666666665,3,1980-10-21,F,false,false,usa,washington,IAD,38.944,-77.456,2022-06-25
228195,9,116,12.88888888888889,0,0,0,0,0.2,null,null,null,null,null,0,1997-02-26,F,false,true,usa,los angeles,LAX,33.942,-118.408,2022-06-26
228872,8,126,15.75,1,2,0,2,0.35,null,509.21,94,6.5,7,1,1989-03-22,M,false,false,usa,san antonio,RND,29.529,-98.279,2022-06-27
229009,8,144,18,3,2,1,4,null,null,928.42,149.5,1.5,2.5,3,2006-08-27,F,false,false,usa,stockton,SCK,37.894,-121.239,2022-06-27
229108,8,321,40.125,1,0,1,2,0.2,0.1,438.61,null,null,null,1,1998-05-28,F,false,false,usa,burlington,BTV,44.472,-73.153,2022-06-27
229330,8,129,16.125,4,4,0,4,null,0.1,387.0275,209.25,2,2.6666666666666665,4,1976-11-08,F,true,false,usa,colorado springs,COS,38.806,-104.7,2022-06-27
232647,8,100,12.5,1,1,0,2,0.1,null,237.1,213,11,11,1,2006-04-11,F,false,false,usa,birmingham,BHM,33.563,-86.753,2022-06-30
249521,8,151,18.875,1,2,0,2,0.2,0.13333333333333333,642.02,141.5,1.5,2,1,1964-07-23,F,true,true,canada,ottawa,YOW,45.323,-75.669,2022-07-15
252835,8,117,14.625,5,4,0,5,0.3,0.05,335.31,132.75,2.75,3.25,4,1986-01-20,F,false,true,usa,chicago,ORD,41.979,-87.904,2022-07-18
258451,8,167,20.875,0,1,1,2,0.15,null,null,178,13,13,0,2000-12-10,F,false,false,usa,miami,OPF,25.907,-80.278,2022-07-22
264470,8,118,14.75,2,2,0,2,0.05,0.1,436.51,200,4.5,5,2,1978-11-05,F,false,true,usa,bakersfield,BFL,35.433,-119.057,2022-07-27
276512,8,98,12.25,1,1,0,1,0.125,0.125,395.69,100,1,2,1,1982-08-27,F,true,true,usa,austin,AUS,30.194,-97.67,2022-08-06
281952,8,158,19.75,2,2,0,2,null,0.15,342.36,131.5,1,1.5,2,1987-01-23,F,false,false,usa,louisville,LOU,38.228,-85.664,2022-08-11
283325,8,114,14.25,1,2,0,2,0.075,0.1,453.27,360.5,3,3.5,1,1973-05-15,F,true,false,usa,dallas,DAL,32.847,-96.852,2022-08-12
290123,9,190,21.11111111111111,7,6,0,7,null,null,685.1585714285715,240,3.25,3.6,6,1983-04-08,F,true,false,usa,houston,HOU,29.645,-95.279,2022-08-18
297546,8,207,25.875,4,5,0,5,null,0.05,415.18,106,5.2,5.8,2,1972-12-05,F,true,false,usa,new york,JFK,40.64,-73.779,2022-08-24
298253,8,98,12.25,1,0,0,1,0.225,0.15,712.42,null,null,null,1,1977-08-01,F,true,true,usa,los angeles,LAX,33.942,-118.408,2022-08-24
299476,9,187,20.77777777777778,1,1,0,1,0.2,0.125,192.38,71,1,2,1,1985-05-19,F,true,false,usa,atlanta,ATL,33.64,-84.427,2022-08-25
306165,8,89,11.125,0,0,0,0,null,null,null,null,null,null,0,2003-04-13,F,false,false,usa,cleveland,CLE,41.412,-81.85,2022-08-31
306819,8,329,41.125,2,2,1,3,0.05,0.05,80.08,316.5,1,1.5,2,1964-04-02,F,true,true,usa,new york,JFK,40.64,-73.779,2022-09-01
312488,8,76,9.5,1,1,0,1,0.25,0.2,407.1,299,null,null,1,1993-06-27,M,true,false,usa,new york,JFK,40.64,-73.779,2022-09-05
313724,8,351,43.875,4,5,1,6,null,null,383.5175,182.4,4,3.6,4,1972-05-13,F,false,false,usa,tulsa,TUL,36.198,-95.888,2022-09-06
316527,8,139,17.375,4,4,0,4,0.15,0.05,434.9725,322.75,3,3.5,4,1982-07-17,F,true,true,canada,winnipeg,YWG,49.91,-97.234,2022-09-08
317688,8,133,16.625,4,4,0,4,0.24999999999999994,0.05,309.685,168.25,1.6666666666666667,2.25,3,1983-05-19,F,false,true,usa,indianapolis,IND,39.717,-86.294,2022-09-09
322867,8,82,10.25,1,1,0,1,0.125,0.1,173.04,189,7,8,1,1977-12-07,F,false,false,usa,mobile,BFM,30.626,-88.068,2022-09-14
324191,8,86,10.75,2,2,0,2,0.1,0.15,49.87,273.5,4.5,5,2,1984-05-27,F,false,false,usa,san diego,SAN,32.733,-117.189,2022-09-15
328590,8,383,47.875,3,2,1,4,0.1,0.15,976.76,155,4.5,5.5,3,1968-07-23,F,false,false,usa,san diego,NZY,32.699,-117.215,2022-09-18
330764,8,375,46.875,1,2,1,4,null,0.05,375.52,129.5,4.5,4.5,1,1985-02-06,F,false,false,usa,detroit,DET,42.409,-83.01,2022-09-20
330893,8,133,16.625,3,3,0,3,null,0.05,287.2033333333333,138,2,2.3333333333333335,3,1980-12-16,F,true,true,usa,oklahoma city,OKC,35.393,-97.601,2022-09-20
331039,8,198,24.75,1,1,1,2,0.1,0.075,2290.87,209,8,8,1,1979-08-02,F,true,true,canada,london,YXU,43.036,-81.154,2022-09-20
334787,8,119,14.875,3,3,0,3,0.05,null,252.72333333333333,169,2,2.3333333333333335,3,1971-04-27,F,false,false,usa,minneapolis,MSP,44.88,-93.217,2022-09-23
